"Abellaite","NaPb2(CO3)2(OH)","hexagonal","Approved","GEN-1","P31c","{""Na"":1,""Pb"":1,""C"":1,""O"":1,""H"":1}",true
"Abelsonite","NiC31H32N4","triclinic","Approved","R070007","P-1","{""Ni"":1,""C"":1,""H"":1,""N"":1}",true
"Abenakiite-(Ce)","Na26Ce6(Si6O18)(PO4)6(CO3)6(SO2)O","hexagonal","Approved","GEN-3","R-3","{""Na"":1,""Ce"":1,""Si"":1,""O"":1,""P"":1,""C"":1,""S"":1}",true
"Abernathyite","K(UO2)(AsO4)·3H2O","tetragonal","Approved,Grandfathered","GEN-4","P4/nmm","{""K"":1,""U"":1,""O"":1,""As"":1,""H"":1}",true
"Abhurite","Sn2+21O6(OH)14Cl16","hexagonal","Approved","R060227","R32","{""Sn"":1,""O"":1,""H"":1,""Cl"":1}",true
"Abramovite","Pb2SnInBiS7","triclinic","Approved","R070037","P1","{""Pb"":1,""Sn"":1,""In"":1,""Bi"":1,""S"":1}",true
"Abswurmbachite","Cu2+Mn3+6O8(SiO4)","tetragonal","Approved","GEN-7","I4_1/acd","{""Cu"":1,""Mn"":1,""O"":1,""Si"":1}",true
"Abuite","CaAl2(PO4)2F2","orthorhombic","Approved","GEN-8","P2_12_12_1","{""Ca"":1,""Al"":1,""P"":1,""O"":1,""F"":1}",true
"Acanthite","Ag2S","monoclinic","Approved,Grandfathered","R070578","P2_1/n","{""Ag"":1,""S"":1}",true
"Acetamide","CH3CONH2","hexagonal","Approved","GEN-10","R3c","{""C"":1,""H"":1,""O"":1,""N"":1}",true
"Achalaite","Fe2+TiNb2O8","monoclinic","Approved","GEN-11","C2/c","{""Fe"":1,""Ti"":1,""Nb"":1,""O"":1}",true
"Achávalite","FeSe","hexagonal","Approved,Renamed","GEN-12","P6_3mc","{""Fe"":1,""Se"":1}",true
"Achyrophanite","(K,Na)3(Fe3+,Ti,Al,Mg)5O2(AsO4)5","orthorhombic","Approved,Pending publication","GEN-13","P222_1","{""K"":1,""Na"":1,""Fe"":1,""Ti"":1,""Al"":1,""Mg"":1,""O"":1,""As"":1}",true
"Acmonidesite","(NH4,K,Pb,Na)9Fe2+4(SO4)5Cl8","orthorhombic","Approved","GEN-14","C222_1","{""N"":1,""H"":1,""K"":1,""Pb"":1,""Na"":1,""Fe"":1,""S"":1,""O"":1,""Cl"":1}",true
"Actinolite","[box]Ca2(Mg4.5-2.5Fe2+0.5-2.5)Si8O22(OH)2","monoclinic","Approved,Redefined","R040063","C2/m","{""Ca"":1,""Mg"":1,""Fe"":1,""Si"":1,""O"":1,""H"":1}",true
"Acuminite","SrAlF4(OH)·H2O","monoclinic","Approved","GEN-16","C2/c","{""Sr"":1,""Al"":1,""F"":1,""O"":1,""H"":1}",true
"Adachiite","CaFe2+3Al6(Si5AlO18)(BO3)3(OH)3(OH)","hexagonal","Approved","R230014","R3m","{""Ca"":1,""Fe"":1,""Al"":1,""Si"":1,""O"":1,""B"":1,""H"":1}",true
"Adamite","Zn2(AsO4)(OH)","orthorhombic","Approved,Grandfathered","R040130","Pnnm","{""Zn"":1,""As"":1,""O"":1,""H"":1}",true
"Adamsite-(Y)","NaY(CO3)2·6H2O","triclinic","Approved","R070360","P1","{""Na"":1,""Y"":1,""C"":1,""O"":1,""H"":1}",true
"Adanite","Pb2(Te4+O3)(SO4)","monoclinic","Approved","R190033","P2_1/n","{""Pb"":1,""Te"":1,""O"":1,""S"":1}",true
"Addibischoffite","Ca2Al6Al6O20","triclinic","Approved","GEN-21","P-1","{""Ca"":1,""Al"":1,""O"":1}",true
"Adelite","CaMg(AsO4)(OH)","orthorhombic","Approved,Grandfathered","R060687","P2_12_12_1","{""Ca"":1,""Mg"":1,""As"":1,""O"":1,""H"":1}",true
"Admontite","MgB6O10·7H2O","monoclinic","Approved","GEN-23","P2_1/c","{""Mg"":1,""B"":1,""O"":1,""H"":1}",true
"Adolfpateraite","K(UO2)(SO4)(OH)(H2O)","monoclinic","Approved","GEN-24","P2_1/c","{""K"":1,""U"":1,""O"":1,""S"":1,""H"":1}",true
"Adranosite","(NH4)4NaAl2(SO4)4Cl(OH)2","tetragonal","Approved","GEN-25","I4_1/acd","{""N"":1,""H"":1,""Na"":1,""Al"":1,""S"":1,""O"":1,""Cl"":1}",true
"Adranosite-(Fe)","(NH4)4NaFe2(SO4)4Cl(OH)2","tetragonal","Approved","GEN-26","I4_1/acd","{""N"":1,""H"":1,""Na"":1,""Fe"":1,""S"":1,""O"":1,""Cl"":1}",true
"Adrianite","Ca12(Al4Mg3Si7)O32Cl6","cubic","Approved","GEN-27","I-43d","{""Ca"":1,""Al"":1,""Mg"":1,""Si"":1,""O"":1,""Cl"":1}",true
"Aegirine","NaFe3+Si2O6","monoclinic","Approved","R040054","C2/c","{""Na"":1,""Fe"":1,""Si"":1,""O"":1}",true
"Aegirine-augite","(Ca,Na)(Fe3+,Mg,Fe2+)Si2O6","monoclinic","Approved,Redefined","GEN-29","C2/c","{""Ca"":1,""Na"":1,""Fe"":1,""Mg"":1,""Si"":1,""O"":1}",true
"Aenigmatite","Na4[Fe2+10Ti2]O4[Si12O36]","triclinic","Approved","R061088","P-1","{""Na"":1,""Fe"":1,""Ti"":1,""O"":1,""Si"":1}",true
"Aerinite","(Ca,Na)6(Fe3+,Fe2+,Mg,Al)4(Al,Mg)6Si12O36(OH)12(CO3)·12H2O","hexagonal","Approved,Redefined","R050610","P3c1","{""Ca"":1,""Na"":1,""Fe"":1,""Mg"":1,""Al"":1,""Si"":1,""O"":1,""H"":1,""C"":1}",true
"Aerugite","Ni8.5(AsO4)2As5+O8","hexagonal","Approved,Redefined","GEN-32","R-3m","{""Ni"":1,""As"":1,""O"":1}",true
"Aeschynite-(Ce)","(Ce,Ca,Fe,Th)(Ti,Nb)2(O,OH)6","orthorhombic","Approved,Renamed","GEN-33","","{""Ce"":1,""Ca"":1,""Fe"":1,""Th"":1,""Ti"":1,""Nb"":1,""O"":1,""H"":1}",true
"Aeschynite-(Nd)","(Nd,Ln,Ca)(Ti,Nb)2(O,OH)6","orthorhombic","Approved","GEN-34","Pbmn","{""Nd"":1,""Ln"":1,""Ca"":1,""Ti"":1,""Nb"":1,""O"":1,""H"":1}",true
"Aeschynite-(Y)","(Y,Ln,Ca,Th)(Ti,Nb)2(O,OH)6","orthorhombic","Approved,Renamed","R060312","Pnma","{""Y"":1,""Ln"":1,""Ca"":1,""Th"":1,""Ti"":1,""Nb"":1,""O"":1,""H"":1}",true
"Afghanite","(Na,K)22Ca10(Si24Al24)O96(SO4)6Cl6","hexagonal","Approved","R060422","P31c","{""Na"":1,""K"":1,""Ca"":1,""Si"":1,""Al"":1,""O"":1,""S"":1,""Cl"":1}",true
"Afmite","Al3(OH)4(H2O)3(PO4)(PO3OH)·H2O","triclinic","Approved","R130082","P-1","{""Al"":1,""O"":1,""H"":1,""P"":1}",true
"Afwillite","Ca3[SiO4][SiO2(OH)2]·2H2O","monoclinic","Approved,Grandfathered","R070296","Cc","{""Ca"":1,""Si"":1,""O"":1,""H"":1}",true
"Agaite","Pb3Cu2+Te6+O5(OH)2(CO3)","orthorhombic","Approved","GEN-39","Pca2_1","{""Pb"":1,""Cu"":1,""Te"":1,""O"":1,""H"":1,""C"":1}",true
"Agakhanovite-(Y)","YCa[box]2KBe3Si12O30","hexagonal","Approved","R230012","P6/mcc","{""Y"":1,""Ca"":1,""K"":1,""Be"":1,""Si"":1,""O"":1}",true
"Agardite-(Ce)","CeCu2+6(AsO4)3(OH)6·3H2O","hexagonal","Approved","GEN-41","P6_3/m","{""Ce"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Agardite-(La)","LaCu2+6(AsO4)3(OH)6·3H2O","hexagonal","Approved","GEN-42","P6_3/m","{""La"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Agardite-(Nd)","NdCu2+6(AsO4)3(OH)6·3H2O","hexagonal","Approved","GEN-43","P6_3/m","{""Nd"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Agardite-(Y)","YCu2+6(AsO4)3(OH)6·3H2O","hexagonal","Approved,Renamed","R060711","P6_3/m","{""Y"":1,""Cu"":1,""As"":1,""O"":1,""H"":1}",true
"Agmantinite","Ag2MnSnS4","orthorhombic","Approved","GEN-45","Pn","{""Ag"":1,""Mn"":1,""Sn"":1,""S"":1}",true
"Agrellite","NaCa2Si4O10F","triclinic","Approved","R060914","P-1","{""Na"":1,""Ca"":1,""Si"":1,""O"":1,""F"":1}",true
"Agricolaite","K4(UO2)(CO3)3","monoclinic","Approved","GEN-47","C2/c","{""K"":1,""U"":1,""O"":1,""C"":1}",true
"Agrinierite","K2Ca[(UO2)3O3(OH)2]2·5H2O","orthorhombic","Approved","R130139","F2mm","{""K"":1,""Ca"":1,""U"":1,""O"":1,""H"":1}",true
"Aguilarite","Ag4SeS","monoclinic","Approved,Grandfathered","GEN-49","P2_12_12_1","{""Ag"":1,""Se"":1,""S"":1}",true
